stop_id,name,abbrev,code_insee,lat,lon
87485342,Beauvoir-sur-Niort,BVK,79031,46.1768857,-0.4687544
87775809,Beauvoisin,BVW,30033,43.7245026,4.3212178
87382002,Bécon les Bruyères,BEC,92026,48.90592,2.26838
87781609,Bédarieux,BED,34028,43.6086972,3.1495688
87765198,Bédarrides,BDR,84016,44.0407636,4.8931321
87672774,Bedous,GGM,64104,42.99589,-0.60348
87581801,Bègles,BGL,33039,44.7995389,-0.5552495
87491076,Beillant,BIL,17400,45.7007999,-0.5265079
87184002,Belfort,BFT,90010,47.633284,6.853956
87300822,Belfort - Montbéliard TGV,BFB,90068,47.585937,6.897687
87592485,Bellac,BLL,87011,46.1252044,1.0461168
87473165,Belle-Isle - Bégard,BIB,22135,48.5935901,-3.3228532
87745000,Bellegarde-sur-Valserine,BGD,01033,46.109425,5.823483
87641068,Bellenaves,BLE,03022,46.199256,3.0665239
87486142,Bellevigny,BVD,85019,46.788316,-1.4346673
87141804,Belleville,BEE,54060,48.8195721,6.1018641
87721357,Belleville sur Sâone,BVL,69019,46.111917,4.729028
87393116,Bellevue,BLU,92048,48.8190033,2.2296743
87743526,Bellignat,BNI,01031,46.2381265,5.6298849
87276550,Belloy - Saint-Martin,BSW,95056,49.09807,2.36135
87595876,Belvès,BES,24035,44.7773978,1.0118831
87783670,Belvezet,BVZ,48023,44.5617971,3.7518919
87476408,Belz - Ploemel,BZP,56161,47.652466,-3.0721919
87673285,Bénesse-Maremne,BMX,40036,43.6277484,-1.3698505
87192302,Bénestroff,BEN,57060,48.90656,6.75266
87214122,Benfeld,BFD,67028,48.3735367,7.584125
87576447,Bengy-sur-Craon,BNH,18027,47.0004698,2.7492361
87193250,Béning-lès-Saint-Avold,BNG,57061,49.1379541,6.8282982
87584268,Bergerac,BGC,24037,44.857061,0.489174
87281105,Bergues,BEG,59067,50.96901,2.42574
87295808,Berlaimont,BER,59068,50.1980095,3.8105316
87444299,Bernay,BEY,27056,49.087102,0.595634
87592352,Bersac-sur-Rivalier,BHA,87013,46.0837459,1.4321682
87215335,Berthelming,BHN,57066,48.8096475,7.0087859
87141424,Bertrichamps,BHZ,54065,48.4283359,6.7912343
87345553,Bertry,BTD,59074,50.0911265,3.4489955
87300863,Besançon Franche-Comté TGV,BFC,25035,47.307361058531725,5.953195095062256
87718015,Besançon Mouillère,BNM,25056,47.240372,6.03391
87718007,Besançon Viotte,BNV,25056,47.247019,6.022003
87471219,Beslé,BIQ,44067,47.6988788,-1.8706374
87276642,Bessancourt,BSR,95060,49.03576,2.21004
87696336,Bessay-sur-Allier,BSS,03025,46.4435849,3.3606477
87594747,Bétaille,BIK,46028,44.9424281,1.7344108
87342006,Béthune,BET,62119,50.52144,2.64055
87471045,Betton,BTN,35024,48.1814803,-1.6344745
87343160,Beuvrages,BUS,59079,50.3894892,3.5061396
87342402,Beuvry lès Béthune,BVR,62126,50.5356021,2.6924093
87393363,Beynes,BYS,78062,48.8593599,1.8755696
87723544,Beynost,BNO,01043,45.833915,5.006969
87781005,Béziers,BZS,34032,43.33633,3.218873
87342097,Biache-Saint-Vaast,BIA,62128,50.3162525,2.9414975
87673400,Biarritz,BIZ,64122,43.459397,-1.545915
87328328,Bibliothèque François Mitterrand,BFM,75113,48.82984,2.37684
87673699,Bidarray Pont Noblia,PBJ,64124,43.2682991,-1.3453233
87691949,Bidos,EON,64126,43.17892,-0.6069
87393546,Bièvres,BSI,91064,48.7513289,2.2157279
87582478,Biganos Facture,FAT,33051,44.637384,-0.96621
87576306,Bigny,BIG,18270,46.8015763,2.368638
87345140,Billy-Montigny,BYM,62133,50.41556,2.91206
87757690,Biot,BJO,06004,43.610951,7.12609
87212308,Bischheim,BHM,67043,48.6118352,7.7422165
87214296,Bischoffsheim,BFH,67045,48.48701,7.49772
87213611,Bischwiller,BHW,67046,48.765753,7.8516536
87182576,Bitschwiller-lès-Thann,BWP,68040,47.8273719,7.078514
87141135,Blainville - Damelevières,BLV,54152,48.564971,6.386953
87713073,Blaisy-Bas,BSB,21080,47.3734427,4.7410755
87313809,Blangy-sur-Bresle,BBM,76101,49.9326071,1.6259074
87317248,Blangy-sur-Ternoise,BIP,62138,50.424669,2.1721585
87581728,Blanquefort,BQF,33056,44.917556,-0.62392
87694612,Blanzy,BYK,71040,46.694064,4.3913585
87574475,Bléré - La Croix,BCX,37091,47.3377228,0.9877583
87574004,Blois - Chambord,BLO,41018,47.585445,1.323823
87444380,Blonville-sur-Mer - Benerville,BWB,14079,49.3313919,0.0356856
87726471,Boën-sur-Lignon,BOE,42019,45.7413612,4.0051544
87172049,Bogny-sur-Meuse,BYU,08081,49.8583117,4.7632317
